"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","Non_rum_kcal_GHG","Plant_kcal_GHG","Yield","GHG_eff_CH4"
"256","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0174605445282646,0.207920681118149,0.26441613577848,0.154539105251523,0.400857956896317,0.0871835930221656,0
"258","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.287854068117914,0.348384532342686,0.374789959276342,0.320767634788103,0.565122759376736,0.203541941111301,0
"259","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,-0.0184714646977988,0.256780792332578,0.304326939007987,0.200864858497751,0.501195824456554,0.145572189480513,0
"267","FOLU (2019)","2050","GLOBIOM","Agriculture","TRANS_noCprice",123.85,-10.6750821,-0.374187099880619,-0.596637774219569,0.400528820486058,-0.260956348114001,0.488798147755222,0.381818181818182,0
"293","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org",146.546553302067,12.0214712020672,0.178487534318603,-0.0790000780860239,-0.0598501098246366,-0.87573500417466,0.610758680473217,0.346341463414634,0
"343","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,0.197115487948287,0.604997484325892,0,0.1
"344","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","WR: INT PD",150.4,15.8749179,-0.0205216357207969,1.0577964465023,-0.818764076460457,0.182813948792248,0.418891657663435,0,0.1
"347","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: INT PD",150.4,15.8749179,0.105997546752979,1.51276037744797,-0.790602086845618,0.31098603372437,0.500065574761508,0.678530729004408,0.1
"348","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: INT HD",150.4,15.8749179,-0.374223540523542,-0.0409583403024628,-0.838296976439889,-0.342030107181993,0.407516292302009,0.719233370307219,0.1
"349","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDP PD",150.4,15.8749179,-0.63825170496259,-0.832193558450072,-0.429648632209665,0.318794915340251,0.500065574761508,0.678530729004408,0.1
"350","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDP HD",150.4,15.8749179,-0.703934678228846,-0.842205882441275,-0.464674407715229,-0.314680854977736,0.407516292302009,0.719233370307219,0.1
"352","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,0.197115487948287,0.604997484325892,0.678530729004408,0.1
"404","Stehfest et al. (2009)","2025","IMAGE 2.4","Agriculture","NoAP",154.65,20.1249179,-0.70308975198638,-0.755723708857751,-0.710759824379495,-0.720734027626011,0.481903566592145,0.317784256559767,0
"426","Stehfest et al. (2009)","2040","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.600986887815167,-1,0.927347092190489,-0.730276998427919,0.694929417411409,0.513119533527697,0
"433","Stehfest et al. (2009)","2045","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.584030391970392,-1,1.06979763651958,-0.718583514470379,0.768611313824947,0.583090379008746,0
"440","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.546032418351925,-1,1.21396134552101,-0.708447084984542,0.836292062827328,0.65597667638484,0
"442","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference - 450ppm",154.65,20.1249179,-0.187939636528681,0.497058224151786,1.21395492327779,0.735241255466722,0.737232108622697,0.588018301009166,0.371429272120856
"457","Stevanovic et al. (2017)","2050","MAgPIE 3","Agriculture","Incentive-based mitigation",154.69,20.1649179,0.385199512452387,0.391421491506304,0.637676577845133,0.320917380254439,0.427591365963213,0.596460913526497,0.0933088763059255
"460","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)",114.85,-19.6750821,0.555894917909202,0.461228047870676,2.90172830651694,1.35596969363422,0.799382722110702,0.539325842696629,0
"462","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)",114.85,-19.6750821,0.565536656348544,0.461228047870676,2.90172830651694,1.35596969363422,0.799382722110702,0.411985018726592,0
"467","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+bau (0.7+G+HY+MEAT+bau)",114.85,-19.6750821,0.310900046781245,-0.265810179514501,2.18505391079677,0.537815263403211,0.340853703311647,0.539325842696629,0
"468","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)",114.85,-19.6750821,0.316121842365411,-0.265810179514501,2.18505391079677,0.537815263403211,0.340853703311647,0.771535580524345,0
"469","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-MEAT+bau (0.7+G+FAO+MEAT+bau)",114.85,-19.6750821,0.320986132759055,-0.265810179514501,2.18505391079677,0.537815263403211,0.340853703311647,0.411985018726592,0
"470","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)",114.85,-19.6750821,0.359257531402289,-0.265810179514501,2.18505391079677,0.537815263403211,0.340853703311647,0.119850187265918,0
"475","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)",114.85,-19.6750821,-0.356290674332003,-1,2.21518596457612,-0.685734604022468,0.544222259855059,0.539325842696629,0
"476","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+bau (0.7+G+YGC+VEGET+bau)",114.85,-19.6750821,-0.34513884905164,-1,2.21518596457612,-0.685734604022468,0.544222259855059,0.771535580524345,0
"477","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)",114.85,-19.6750821,-0.332452471535018,-1,2.21518596457612,-0.685734604022468,0.544222259855059,0.411985018726592,0
"484","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-VEGET+rumi (0.7+R+YGC+VEGET+rumi)",114.85,-19.6750821,0.0925934641484087,-1,4.4690754727065,-1,0.544222259855059,0.771535580524345,0
"486","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)",114.85,-19.6750821,0.13565879031855,-1,4.4690754727065,-1,0.544222259855059,0.119850187265918,0
"550","Valin et al. (2013)","2050","GLOBIOM","Agriculture","CONV-C + FT",89.6,-44.9250821,0.210076612056072,-0.1001997378686,0.252471439274578,1.00860947076853,0.786269088055185,0.777320680380679,0
